"Locus_tag"	"start"	"stop"	"strand"	"KEGG_definition"	"Knumber"	"gene_name"	"COG_category"	"X3hControl"	"X3hMedium"	"X3hPlant"	"X7dControl"	"X7dMedium"	"X7dPlant"	"Library"	"insertion_num"	"log2FC_3h"	"pval_3h"	"qval_3h"	"res_3h"	"log2FC_7d"	"pval_7d"	"qval_7d"	"res_7d"
"DLM_0001"	5	886	"+"	"O-antigen biosynthesis protein [EC:2.4.1.-]"	"K20444"	"rfaG"	"M"	24.7482185273159	25.8836633663366	17.695652173913	51.119298245614	52.6335616438356	97.1428571428571	25.8111455108359	11	-0.582195270485792	0.0218085301593288	0.190139990765416	NA	0.842715837151596	0.201543896157156	0.344997903876876	NA
"DLM_0002"	977	1819	"+"	"flagellin"	"K02406"	"flgL"	"N"	14.9192399049881	15.3193069306931	3.04347826086957	10.7929824561404	7.87328767123288	2.35714285714286	15.015479876161	8	-2.38837449062046	0.000728104073349497	0.0183545972942567	"Depleted"	-2.27774244240896	0.00120107043535203	0.0156885304991057	"Depleted"
"DLM_0003"	1898	2323	"+"	"flagellar protein FlaG"	"K06603"	"flaG"	"N"	2.90973871733967	2.98019801980198	3.1304347826087	2.86315789473684	1.98287671232877	0.928571428571428	2.86996904024768	5	0.0224559731506105	0.483240397797029	0.620168887266037	NA	-1.78695889362808	0.0662558611669883	0.225203921383254	NA
"DLM_0004"	2362	3720	"+"	"flagellar hook-associated protein 2"	"K02407"	"fliD"	"N"	20.5296912114014	20.0891089108911	4.65217391304348	12.3964912280702	8.47260273972603	2.07142857142857	21.3018575851393	12	-2.23672841304517	2.25446883024076e-05	0.00146567646410695	"Depleted"	-2.66399381256867	2.80851627099106e-06	9.64843762922775e-05	"Depleted"
"DLM_0005"	3745	4173	"+"	"flagellar secretion chaperone FliS"	"K02422"	"fliS"	"NUO"	12.2161520190024	12.6608910891089	1.08695652173913	6.99649122807018	5.18493150684932	3.28571428571429	11.5835913312693	7	-3.64403034767779	0.000158160506208105	0.00630207884322482	"Depleted"	-2.37409467375728	0.00375776832283056	0.0397333994970605	"Depleted"
"DLM_0006"	4290	4514	"+"	"neurofilament light polypeptide"	"K04572/K02498"	NA	NA	0.916864608076009	0.935643564356436	0.521739130434783	1.15789473684211	0.931506849315068	1	1.09752321981424	1	-0.90837349011221	NA	NA	NA	-0.294264065993799	NA	NA	NA
"DLM_0007"	4581	4937	"+"	"mitochondrial import receptor subunit TOM70"	"K17768"	NA	NA	2.68646080760095	2.91089108910891	1.43478260869565	5.37543859649123	2.72260273972603	46.5	3.0015479876161	2	-0.999868048196653	0.137095845794521	0.431981288552774	NA	3.03001637743509	0.263391712757422	0.378151114334762	NA
"DLM_0008"	4934	5983	"+"	NA	NA	NA	NA	6.95011876484561	7.04950495049505	6.91304347826087	6.23508771929825	6.1472602739726	8.57142857142857	7.25386996904025	4	-0.102710052419418	0.582750398271642	0.642132196705059	NA	0.376365855774253	0.789090661358035	0.531169042602015	NA
"DLM_0009"	5961	6302	"+"	"flagellar biosynthesis protein"	"K04061"	"COG2257"	"S"	1.83610451306413	1.92821782178218	1.91304347826087	2.00350877192982	1.74657534246575	1.85714285714286	2.10371517027864	3	-0.0670712361312683	0.927590116509425	0.713093019893942	NA	-0.41797221247084	0.829426056532859	0.539358739693584	NA
"DLM_0010"	6432	7298	"+"	"3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]"	"K00020/K00042"	"mmsB"	"I"	23.2066508313539	22.9133663366337	24.3478260869565	24.1649122807018	23.7808219178082	32.1428571428571	23.0216718266254	9	-0.0292752494983863	0.872104272501757	0.705767304291848	NA	0.310716564146333	0.353359068077856	0.418341502675617	NA
"DLM_0011"	7351	7647	"-"	"uncharacterized protein"	"K09984"	"COG3813"	"S"	8.09976247030879	7.96039603960396	8.82608695652174	8.40701754385965	8.16780821917808	9.21428571428571	8.44117647058824	4	0.0289009397083552	0.883532723098457	0.707310806205682	NA	0.0495182888288806	0.550918654420796	0.476020281597732	NA
"DLM_0012"	7722	8036	"+"	"FAD synthetase [EC:2.7.7.2]"	"K00953/K02834"	NA	NA	10.3277909738717	10.2277227722772	13.4782608695652	10.4385964912281	10.9109589041096	15.6428571428571	11.5882352941176	4	0.286107836885196	0.533258053946148	0.631383939836003	NA	0.497612174350535	0.201845557571158	0.344997903876876	NA
"DLM_0013"	8121	8360	"+"	"pyrimidine-specific ribonucleoside hydrolase [EC:3.2.-.-]"	"K01250/K12843"	NA	NA	0.00237529691211401	0.00495049504950495	0.0434782608695652	0.00350877192982456	0.0102739726027397	0.928571428571429	0.00154798761609907	1	NA	NA	NA	NA	NA	NA	NA	NA
"DLM_0014"	8344	8751	"-"	"CRP/FNR family transcriptional regulator, cyclic AMP receptor protein"	"K10914/K19348"	NA	NA	19.2636579572447	19.8811881188119	23.8260869565217	17.3684210526316	18.0205479452055	19	20.3947368421053	5	0.211666930290605	0.937199052481804	0.714822753741361	NA	0.0467728518412675	0.847223630860983	0.540464864306526	NA
"DLM_0015"	9059	9688	"-"	"6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]"	"K00033/K21245"	NA	NA	15.3372921615202	15.759900990099	19.1304347826087	15.9122807017544	15.1198630136986	12.5	16.0959752321981	8	0.223832448212024	0.792831854819044	0.68959274310873	NA	-0.430972497389144	0.0391329932463745	0.169728212356583	NA
"DLM_0016"	9885	10739	"-"	NA	NA	"COG1561"	"S"	15.855106888361	15.009900990099	16.8260869565217	10.2105263157895	9.28424657534247	4.07142857142857	17.109907120743	8	-0.0092413188831543	0.427071167065739	0.601275643113137	NA	-1.40921019743649	0.000398508105262362	0.00635001918008226	"Depleted"
