"nc"	"X3hControl"	"X3hMedium"	"X3hPlant"	"X7dControl"	"X7dMedium"	"X7dPlant"	"Library"	"Locus_tag"	"start"	"stop"	"strand"	"KEGG_definition"	"Knumber"	"gene_name"	"COG_category"
89	731	662	19	972	1071	29	1087	DLM_0001	5	886	+	O-antigen biosynthesis protein [EC:2.4.1.-]	K20444	rfaG	M
98	428	474	15	659	641	12	736	DLM_0001	5	886	+	O-antigen biosynthesis protein [EC:2.4.1.-]	K20444	rfaG	M
500	1424	1436	29	2125	2221	319	2245	DLM_0001	5	886	+	O-antigen biosynthesis protein [EC:2.4.1.-]	K20444	rfaG	M
502	1678	1569	60	2217	2302	132	2631	DLM_0001	5	886	+	O-antigen biosynthesis protein [EC:2.4.1.-]	K20444	rfaG	M
598	444	430	1	432	400	36	621	DLM_0001	5	886	+	O-antigen biosynthesis protein [EC:2.4.1.-]	K20444	rfaG	M
667	300	269	11	633	704	52	483	DLM_0001	5	886	+	O-antigen biosynthesis protein [EC:2.4.1.-]	K20444	rfaG	M
673	1295	1161	99	2009	2292	172	2193	DLM_0001	5	886	+	O-antigen biosynthesis protein [EC:2.4.1.-]	K20444	rfaG	M
677	346	345	14	405	372	22	539	DLM_0001	5	886	+	O-antigen biosynthesis protein [EC:2.4.1.-]	K20444	rfaG	M
721	1010	1102	32	1183	1362	302	1693	DLM_0001	5	886	+	O-antigen biosynthesis protein [EC:2.4.1.-]	K20444	rfaG	M
821	2751	2998	116	3921	3992	273	4427	DLM_0001	5	886	+	O-antigen biosynthesis protein [EC:2.4.1.-]	K20444	rfaG	M
876	1	0	0	2	1	0	8	DLM_0001	5	886	+	O-antigen biosynthesis protein [EC:2.4.1.-]	K20444	rfaG	M
899	506	465	32	337	344	3	776								
923	892	840	8	632	464	6	1298								
927	318	302	6	201	180	1	480								
1000	780	758	1	477	418	1	1186	DLM_0002	977	1819	+	flagellin	K02406	flgL	N
1372	724	768	0	339	264	6	1024	DLM_0002	977	1819	+	flagellin	K02406	flgL	N
1399	241	215	0	134	98	0	363	DLM_0002	977	1819	+	flagellin	K02406	flgL	N
1490	1947	1990	5	1050	653	2	3357	DLM_0002	977	1819	+	flagellin	K02406	flgL	N
1658	1457	1282	7	443	342	2	2050	DLM_0002	977	1819	+	flagellin	K02406	flgL	N
1701	292	395	1	129	95	1	479	DLM_0002	977	1819	+	flagellin	K02406	flgL	N
1759	174	194	0	41	34	0	249	DLM_0002	977	1819	+	flagellin	K02406	flgL	N
1817	658	579	48	455	387	13	984	DLM_0002	977	1819	+	flagellin	K02406	flgL	N
1822	1192	1081	103	846	604	6	1707								
1830	1270	1154	114	767	549	9	1952								
1835	299	293	50	232	173	3	487								
1882	688	737	40	561	413	1	1307								
1905	248	267	19	186	147	0	391	DLM_0003	1898	2323	+	flagellar protein FlaG	K06603	flaG	N
1942	446	432	34	272	189	2	717	DLM_0003	1898	2323	+	flagellar protein FlaG	K06603	flaG	N
2020	351	332	14	287	201	5	517	DLM_0003	1898	2323	+	flagellar protein FlaG	K06603	flaG	N
2178	26	34	0	19	5	0	49	DLM_0003	1898	2323	+	flagellar protein FlaG	K06603	flaG	N
2194	149	134	0	47	32	1	175	DLM_0003	1898	2323	+	flagellar protein FlaG	K06603	flaG	N
2344	545	581	0	264	243	18	973								
2373	124	135	0	66	43	1	235	DLM_0004	2362	3720	+	flagellar hook-associated protein 2	K02407	fliD	N
2473	1417	1479	11	593	413	6	2176	DLM_0004	2362	3720	+	flagellar hook-associated protein 2	K02407	fliD	N
2641	285	292	3	156	79	3	449	DLM_0004	2362	3720	+	flagellar hook-associated protein 2	K02407	fliD	N
2886	793	844	16	275	170	2	1136	DLM_0004	2362	3720	+	flagellar hook-associated protein 2	K02407	fliD	N
2896	827	721	4	275	197	0	1284	DLM_0004	2362	3720	+	flagellar hook-associated protein 2	K02407	fliD	N
2906	585	564	12	265	175	1	865	DLM_0004	2362	3720	+	flagellar hook-associated protein 2	K02407	fliD	N
3012	614	526	18	243	183	0	901	DLM_0004	2362	3720	+	flagellar hook-associated protein 2	K02407	fliD	N
3355	270	222	4	81	61	0	325	DLM_0004	2362	3720	+	flagellar hook-associated protein 2	K02407	fliD	N
3567	173	166	0	81	54	0	307	DLM_0004	2362	3720	+	flagellar hook-associated protein 2	K02407	fliD	N
3637	2328	2098	18	957	634	3	4266	DLM_0004	2362	3720	+	flagellar hook-associated protein 2	K02407	fliD	N
3649	698	586	0	294	224	1	976	DLM_0004	2362	3720	+	flagellar hook-associated protein 2	K02407	fliD	N
3696	517	471	9	235	229	0	829	DLM_0004	2362	3720	+	flagellar hook-associated protein 2	K02407	fliD	N
3842	256	234	0	95	74	2	342	DLM_0005	3745	4173	+	flagellar secretion chaperone FliS	K02422	fliS	NUO
3886	777	810	4	255	145	1	1129	DLM_0005	3745	4173	+	flagellar secretion chaperone FliS	K02422	fliS	NUO
3907	644	694	0	309	218	2	1033	DLM_0005	3745	4173	+	flagellar secretion chaperone FliS	K02422	fliS	NUO
4018	921	923	8	393	361	5	1434	DLM_0005	3745	4173	+	flagellar secretion chaperone FliS	K02422	fliS	NUO
4024	2145	1992	6	764	541	2	2815	DLM_0005	3745	4173	+	flagellar secretion chaperone FliS	K02422	fliS	NUO
4085	393	455	0	171	168	2	723	DLM_0005	3745	4173	+	flagellar secretion chaperone FliS	K02422	fliS	NUO
4144	0	0	0	0	0	25	0	DLM_0005	3745	4173	+	flagellar secretion chaperone FliS	K02422	fliS	NUO
4505	385	377	11	329	271	13	708	DLM_0006	4290	4514	+	neurofilament light polypeptide	K04572/K02498	NA	NA
4546	320	340	8	202	174	19	566								
4552	10	5	0	8	3	19	8								
4812	742	796	23	1118	518	191	1338	DLM_0007	4581	4937	+	mitochondrial import receptor subunit TOM70	K17768	NA	NA
4922	387	378	8	412	275	458	599	DLM_0007	4581	4937	+	mitochondrial import receptor subunit TOM70	K17768	NA	NA
5004	760	754	63	432	422	65	1191	DLM_0008	4934	5983	+	NA	NA	NA	NA
5194	921	942	40	633	606	19	1506	DLM_0008	4934	5983	+	NA	NA	NA	NA
5338	666	616	15	335	325	14	1045	DLM_0008	4934	5983	+	NA	NA	NA	NA
5706	575	532	37	373	438	18	940	DLM_0008	4934	5983	+	NA	NA	NA	NA
6015	0	0	0	5	4	3	1	DLM_0009	5961	6302	+	flagellar biosynthesis protein	K04061	COG2257	S
6077	723	724	39	515	459	13	1251	DLM_0009	5961	6302	+	flagellar biosynthesis protein	K04061	COG2257	S
6216	47	52	2	48	44	7	104	DLM_0009	5961	6302	+	flagellar biosynthesis protein	K04061	COG2257	S
6324	1158	1229	67	728	784	39	1982								
6352	1673	1737	73	891	1030	44	2475								
6376	243	255	8	151	187	1	402								
6399	539	529	49	340	350	26	838								
6444	3	3	0	1	1	4	9	DLM_0010	6432	7298	+	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	K00020/K00042	mmsB	I
6509	2126	2020	126	1591	1708	109	2839	DLM_0010	6432	7298	+	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	K00020/K00042	mmsB	I
6607	1317	1256	74	952	1003	87	2135	DLM_0010	6432	7298	+	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	K00020/K00042	mmsB	I
6629	756	727	26	338	363	24	1021	DLM_0010	6432	7298	+	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	K00020/K00042	mmsB	I
6697	654	493	30	490	494	25	897	DLM_0010	6432	7298	+	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	K00020/K00042	mmsB	I
6902	6	13	0	3	3	0	11	DLM_0010	6432	7298	+	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	K00020/K00042	mmsB	I
7106	117	118	15	79	82	2	185	DLM_0010	6432	7298	+	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	K00020/K00042	mmsB	I
7110	1987	1905	144	1505	1395	58	3433	DLM_0010	6432	7298	+	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	K00020/K00042	mmsB	I
7154	2795	2713	136	1919	1886	132	4333	DLM_0010	6432	7298	+	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	K00020/K00042	mmsB	I
7415	2108	1999	126	1547	1561	84	3356	DLM_0011	7351	7647	-	uncharacterized protein	K09984	COG3813	S
7417	677	641	17	498	521	20	1081	DLM_0011	7351	7647	-	uncharacterized protein	K09984	COG3813	S
7531	261	237	30	214	168	11	476	DLM_0011	7351	7647	-	uncharacterized protein	K09984	COG3813	S
7629	360	335	26	133	131	10	536	DLM_0011	7351	7647	-	uncharacterized protein	K09984	COG3813	S
7680	216	212	15	146	155	7	343								
7698	3	1	0	5	4	0	7								
7789	110	106	0	56	93	2	219	DLM_0012	7722	8036	+	FAD synthetase [EC:2.7.7.2]	K00953/K02834	NA	NA
7792	2784	2560	220	1955	2068	133	4651	DLM_0012	7722	8036	+	FAD synthetase [EC:2.7.7.2]	K00953/K02834	NA	NA
