Locus_tag	start	stop	strand	KEGG_definition	Knumber	gene_name	COG_category
DLM_0001	5	886	+	O-antigen biosynthesis protein [EC:2.4.1.-]	K20444	rfaG	M
DLM_0002	977	1819	+	flagellin	K02406	flgL	N
DLM_0003	1898	2323	+	flagellar protein FlaG	K06603	flaG	N
DLM_0004	2362	3720	+	flagellar hook-associated protein 2	K02407	fliD	N
DLM_0005	3745	4173	+	flagellar secretion chaperone FliS	K02422	fliS	NUO
DLM_0006	4290	4514	+	neurofilament light polypeptide	K04572/K02498	  	  
DLM_0007	4581	4937	+	mitochondrial import receptor subunit TOM70	K17768	  	  
DLM_0008	4934	5983	+		  	  	  
DLM_0009	5961	6302	+	flagellar biosynthesis protein	K04061	COG2257	S
DLM_0010	6432	7298	+	3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]	K00020/K00042	mmsB	I
DLM_0011	7351	7647	-	uncharacterized protein	K09984	COG3813	S
DLM_0012	7722	8036	+	FAD synthetase [EC:2.7.7.2]	K00953/K02834	  	  
DLM_0013	8121	8360	+	pyrimidine-specific ribonucleoside hydrolase [EC:3.2.-.-]	K01250/K12843	  	  
DLM_0014	8344	8751	-	"CRP/FNR family transcriptional regulator, cyclic AMP receptor protein"	K10914/K19348	  	  
DLM_0015	9059	9688	-	6-phosphogluconate dehydrogenase [EC:1.1.1.44 1.1.1.343]	K00033/K21245	  	  
DLM_0016	9885	10739	-		  	COG1561	S
DLM_0017	10851	11819	+	"serine/threonine protein kinase, bacterial [EC:2.7.11.1]"	K08884	sps1	RTKL
DLM_0018	11830	12723	+	PPM family protein phosphatase [EC:3.1.3.16]	K20074	ptc1	T
DLM_0019	12806	13522	+	ribonuclease PH [EC:2.7.7.56]	K00989	rph	J
DLM_0020	13575	14393	-	protease YdgD [EC:3.4.21.-]	K04775	COG3591	E
DLM_0021	14480	15532	-	colicin import membrane protein	K03646/K19521	  	  
DLM_0022	15670	16941	-	"two-component system, OmpR family, sensor histidine kinase RstB [EC:2.7.13.3]"	K07639	baeS	T
DLM_0023	16945	17661	-	"two-component system, OmpR family, response regulator RstA"	K07661	ompR	TK
DLM_0024	17967	19859	+	methyl-accepting chemotaxis protein	K03406	tar	S
DLM_0025	19878	20051	-	Niemann-Pick C1 protein	K12385/K03616	  	  
DLM_0026	20229	20474	-	ribosome biogenesis GTPase / thiamine phosphate phosphatase [EC:3.6.1.- 3.1.3.100]	K06949/K01011	  	  
DLM_0027	20607	21494	+	cytochrome o ubiquinol oxidase subunit II [EC:7.1.1.3]	K02297	cyoA	C
DLM_0028	21498	23540	+	cytochrome o ubiquinol oxidase subunit I [EC:7.1.1.3]	K02298	cyoB	C
DLM_0029	23555	24166	+	cytochrome o ubiquinol oxidase subunit III	K02299	cyoC	C
DLM_0030	24166	24489	+	cytochrome o ubiquinol oxidase subunit IV	K02300	cyoD	C
DLM_0031	24501	25385	+	heme o synthase [EC:2.5.1.141]	K02257	cyoE	O
DLM_0032	26043	26975	-		  	  	  
DLM_0033	28424	31195	-	type VI secretion system secreted protein VgrG	K11904	vgrG	S
DLM_0034	31794	32747	+	tRNA-dihydrouridine synthase A [EC:1.-.-.-]	K05539	COG0042	J
