time,Locus_tag,name,COG_category,FC,sig,loc,res
3h,DLM_0001,rfaG,M,-0.58219527,,5,
3h,DLM_0002,flgL,N,-2.388374491,Depleted,8,Both
3h,DLM_0003,flaG,N,0.022455973,,8,
3h,DLM_0004,fliD,N,-2.236728413,Depleted,8,Both
3h,DLM_0005,fliS,NUO,-3.644030348,Depleted,8,Both
3h,DLM_0006,NA,,-0.90837349,,15,
3h,DLM_0007,NA,,-0.999868048,,15,
3h,DLM_0008,NA,,-0.102710052,,15,
3h,DLM_0009,COG2257,S,-0.067071236,,14,
3h,DLM_0010,mmsB,I,-0.029275249,,9,
3h,DLM_0011,COG3813,S,0.02890094,,14,
3h,DLM_0012,NA,,0.286107837,,15,
3h,DLM_0014,NA,,0.21166693,,15,
3h,DLM_0015,NA,,0.223832448,,15,
3h,DLM_0016,COG1561,S,-0.009241319,,14,
3h,DLM_0017,sps1,RTKL,0.005902218,,13,
3h,DLM_0018,ptc1,T,1.579670289,,3,
3h,DLM_0019,rph,J,0.686846449,,12,
3h,DLM_0020,COG3591,E,0.567615055,,1,
3h,DLM_0021,NA,,0.896628183,,15,
3h,DLM_0022,baeS,T,-0.255653232,,3,
3h,DLM_0023,ompR,TK,-1.724479206,Depleted,3,3D7E
3h,DLM_0024,tar,S,0.115248721,,14,
3h,DLM_0027,cyoA,C,0.041381975,,4,
3h,DLM_0028,cyoB,C,0.04600971,,4,
3h,DLM_0029,cyoC,C,0.177686393,,4,
3h,DLM_0030,cyoD,C,0.756854284,,4,
3h,DLM_0031,cyoE,O,0.021483635,,10,
3h,DLM_0032,NA,,0.105710856,,15,
3h,DLM_0033,vgrG,S,-0.058525625,,14,
3h,DLM_0034,COG0042,J,-0.330605838,,12,
3h,DLM_0035,COG0127,F,0.221718627,,12,
3h,DLM_0036,NA,H,-0.330401168,,12,
3h,DLM_0037,tdcF,J,-1.220551075,,12,
3h,DLM_0038,NA,,0.420762009,,15,
3h,DLM_0039,COG0384,R,-0.605433215,,13,
3h,DLM_0040,COG4731,S,-0.049381476,,14,
3h,DLM_0041,recG,LK,-0.334102857,,11,
3h,DLM_0042,pitA,P,1.54239985,Enriched,7,3E7D
3h,DLM_0043,pstB,P,-0.238162438,,7,
3h,DLM_0044,pstA,P,-0.220956253,,7,
3h,DLM_0045,pstC,P,0.378149269,,7,
3h,DLM_0046,pstS,P,-0.09315241,,7,
3h,DLM_0047,tpiA,G,-2.853412215,,6,
3h,DLM_0062,nuoN,C,-0.270112763,,4,
3h,DLM_0063,NA,,-0.089762113,,15,
3h,DLM_0064,htrB,M,1.739485542,Enriched,5,
3h,DLM_0065,htrB,M,1.702860754,,5,
3h,DLM_0066,metK,H,0.042406655,,12,
3h,DLM_0067,amtB,P,-0.650748381,,7,
3h,DLM_0068,glnK,E,-0.640847036,,1,
3h,DLM_0070,COG0606,O,0.13586369,,10,
3h,DLM_0072,dsbG,O,-0.7206176,,10,
3h,DLM_0077,COG4137,R,0.220956792,,13,
3h,DLM_0078,comEA,L,0.272105848,,11,
3h,DLM_0079,phrB,L,-0.500324011,,11,
3h,DLM_0080,ompC,M,1.159242039,,5,
3h,DLM_0081,pulE,NU,-2.696656792,Depleted,8,
3h,DLM_0082,pulF,NU,-1.166915848,,8,
3h,DLM_0083,pulO,NOU,-2.384694731,,8,
3h,DLM_0085,COG4582,S,-1.074442532,,14,
3h,DLM_0086,COG3024,S,2.47763267,,14,
3h,DLM_0089,COG1600,C,0.002162128,,4,
3h,DLM_0090,COG1247,M,-0.170501538,,5,
3h,DLM_0091,maoC,I,0.758122401,,9,
3h,DLM_0093,fixB,C,-0.318588465,,4,
3h,DLM_0094,caiA,I,-0.093301559,,9,
3h,DLM_0095,carA,EF,-0.569085005,,1,
3h,DLM_0096,rhtB,E,-1.647953001,,1,
3h,DLM_0097,purH,F,-0.669239744,,12,
3h,DLM_0098,COG0782,K,0.784079337,,2,
3h,DLM_0099,NA,,0.014108296,,15,
3h,DLM_0101,ftsJ,J,0.755579138,,12,
3h,DLM_0103,folP,H,-1.671708,,12,
3h,DLM_0105,alr,M,-0.259960047,,5,
3h,DLM_0106,dedA,S,1.56689051,Enriched,14,
3h,DLM_0107,fkpA,O,0.593856039,,10,
3h,DLM_0108,COG5473,S,-0.252420555,,14,
3h,DLM_0109,ldhA,CHR,0.173232643,,4,
3h,DLM_0111,btuE,O,-0.276712262,,10,
3h,DLM_0112,COG0220,R,0.17053538,,13,
3h,DLM_0113,wcaG,MG,0.048264676,,5,
3h,DLM_0114,NA,,-0.50404605,,15,
3h,DLM_0115,fdx,C,-0.079776765,,4,
3h,DLM_0117,potE,E,0.480575945,,1,
3h,DLM_0122,rssA,R,-0.296567856,,13,
3h,DLM_0123,COG1695,K,-0.291951278,,2,
3h,DLM_0124,COG4709,S,-0.026392238,,14,
3h,DLM_0125,apt,F,-1.015002163,,12,
3h,DLM_0126,COG2252,R,0.500840978,,13,
3h,DLM_0129,spoT,TK,-0.45056598,,3,
3h,DLM_0131,thiG,H,0.074535408,,12,
3h,DLM_0134,dnaG,L,-1.070803955,,11,
3h,DLM_0137,gltP,C,0.728502825,,4,
3h,DLM_0138,ansB,EJ,-0.086198713,,1,
3h,DLM_0139,atoC,T,0.790393991,,3,
3h,DLM_0140,COG4191,T,0.622627344,,3,
3h,DLM_0141,tar,T,0.220595342,,3,
3h,DLM_0142,NA,,2.672306379,,15,
3h,DLM_0143,lysR,K,-0.052494769,,2,
3h,DLM_0144,lysA,E,-1.897243433,Depleted,1,Both
3h,DLM_0145,ompC,M,-0.009637568,,5,
3h,DLM_0146,osmY,R,0.012490449,,13,
3h,DLM_0147,mltA,M,0.612373675,,5,
3h,DLM_0148,acrA,M,0.188535967,,5,
3h,DLM_0149,NA,V,0.037606657,,12,
3h,DLM_0150,hisJ,ET,0.103980054,,1,
3h,DLM_0151,lysR,K,0.503806,,2,
3h,DLM_0152,chrA,P,0.310625152,,7,
3h,DLM_0153,chrA,P,0.094163775,,7,
3h,DLM_0154,desA,I,0.409090429,,9,
3h,DLM_0156,priA,L,-0.177109527,,11,
3h,DLM_0157,dacB,M,-0.104963284,,5,
3h,DLM_0158,grxC,O,-0.318908454,,10,
3h,DLM_0159,secB,U,-0.458255623,,12,
3h,DLM_0160,COG3807,S,-1.083792937,,14,
3h,DLM_0161,gpsA,C,-0.379850759,,4,
3h,DLM_0162,NA,,-0.50402147,,15,
3h,DLM_0163,tpx,O,0.283012719,,10,
3h,DLM_0164,NA,,-1.128494897,,15,
3h,DLM_0165,prmA,J,-0.659617312,,12,
3h,DLM_0166,accC,I,1.166654204,,9,
3h,DLM_0169,NA,,-1.258430958,,15,
3h,DLM_0170,queA,J,-0.057383439,,12,
3h,DLM_0171,COG3536,S,-1.132443021,,14,
3h,DLM_0173,rhtB,E,-0.560450187,,1,
3h,DLM_0174,COG3165,S,-1.455467805,,14,
3h,DLM_0175,aarF,R,-0.673868262,,13,
3h,DLM_0176,atoA,I,1.765697313,,9,
3h,DLM_0177,atoD,I,0.354063031,,9,
3h,DLM_0178,fabG,IQR,-0.010103529,,9,
3h,DLM_0179,gntT,GE,0.10086088,,6,
3h,DLM_0180,rocR,KT,0.169100576,,2,
3h,DLM_0181,COG0599,S,0.226244483,,14,
3h,DLM_0182,COG3737,S,-0.632259703,,14,
3h,DLM_0183,COG0436,E,-0.507691588,,1,
3h,DLM_0184,thrA,E,-2.742780209,Depleted,1,
3h,DLM_0185,NA,,-2.262822727,,15,
3h,DLM_0186,thrC,E,-3.797211357,Depleted,1,
3h,DLM_0187,flgA,NO,-2.947353383,,8,
3h,DLM_0188,flgM,KNU,-4.465028444,,2,
3h,DLM_0189,COG3418,NUO,-2.725084044,,8,
3h,DLM_0190,cbiB,H,-0.961688238,,12,
3h,DLM_0191,srmB,LKJ,-0.138958681,,11,
3h,DLM_0192,COG1556,S,-0.277750751,,14,
3h,DLM_0193,COG1139,C,-0.272139942,,4,
3h,DLM_0194,glpC,C,-0.257920902,,4,
3h,DLM_0195,tar,T,0.576202943,,3,
